OWCP MEDICAL FEE SCHEDULE - EFFECTIVE
Table of RVU & Conversion Factor values by CPT/HCPCS Codes
Effective Date: June 30, 2020
Last Update: June 30, 2020
Pay Status: B=Bundled (Non-ASC providers); C=Covered; D = Not Payable by DOL; R=Suspend for Review; S = Suspend for Review




Table of RVU & Conversion Factor values by CPT/HCPCS Codes
      CPT                                               NON-FACILITY   FACILITY
      ADA                       PAY          WORK            PE           PE      MPE    GLOBAL   CONVERSION              SHORT DESCRIPTION
     00541                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth One Lung Ventilation
     00542                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesthesia Removal Pleura
     00546                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Lung Chest Wall Surg
     00548                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Trachea Bronchi Surg
     00550                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Sternal Debridement
     00560                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Heart Surg W/O Pump
     00561                        D            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Heart Surg <1 Yr
     00562                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Hrt Surg W/Pmp Age 1+
     00563                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Heart Surg W/Arrest
     00566                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Cabg W/O Pump
     00567                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Cabg W/Pump
     00580                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Heart/Lung Transplnt
     00600                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Spine Cord Surgery
     00604                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Sitting Procedure
     00620                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Spine Cord Surgery
     00625                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anes Spine Tranthor W/O Vent
     00626                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anes Spine Transthor W/Vent
     00630                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Spine Cord Surgery
     00632                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Removal Of Nerves
     00635                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Lumbar Puncture
     00640                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Spine Manipulation
     00670                        C            0.00         0.00         0.00     0.00    XXX         0.00                Anesth Spine Cord Surgery
00700   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Abdominal Wall Surg
00702   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth For Liver Biopsy
00730   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Abdominal Wall Surg
00731   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Upr Gi Ndsc Px Nos
00732   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Upr Gi Ndsc Px Ercp
00750   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Repair Of Hernia
00752   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Repair Of Hernia
00754   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Repair Of Hernia
00756   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Repair Of Hernia
00770   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Blood Vessel Repair
00790   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surg Upper Abdomen
00792   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hemorr/Excise Liver
00794   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Pancreas Removal
00796   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth For Liver Transplant
00797   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surgery For Obesity
00800   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Abdominal Wall Surg
00802   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Fat Layer Removal
00811   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Lwr Intst Ndsc Nos
00812   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Lwr Intst Scr Colsc
00813   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Upr Lwr Gi Ndsc Px
00820   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Abdominal Wall Surg
00830   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Repair Of Hernia
00832   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Repair Of Hernia
00834   D   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hernia Repair < 1 Yr
00836   D   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hernia Repair Preemie
00840   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surg Lower Abdomen
00842   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Amniocentesis
00844   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Pelvis Surgery
00846   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hysterectomy
00848   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Pelvic Organ Surg
00851   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Tubal Ligation
00860   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surgery Of Abdomen
00862   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Kidney/Ureter Surg
00864   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Bladder
00865   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Prostate
00866   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Adrenal
00868   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Kidney Transplant
00870   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Bladder Stone Surg
00872   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Kidney Stone Destruct
00873   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Kidney Stone Destruct
00880   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Abdomen Vessel Surg
00882   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Major Vein Ligation
00902   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Anorectal Surgery
00904   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Perineal Surgery
00906   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Vulva
00908   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Prostate
00910   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Bladder Surgery
00912   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Bladder Tumor Surg
00914   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Prostate
00916   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Bleeding Control
00918   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Stone Removal
00920   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Genitalia Surgery
00921   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Vasectomy
00922   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Sperm Duct Surgery
00924   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Testis Exploration
00926   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Testis
00928   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Removal Of Testis
00930   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Testis Suspension
00932   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Amputation Of Penis
00934   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Penis Nodes Removal
00936   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Penis Nodes Removal
00938   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Insert Penis Device
00940   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Vaginal Procedures
00942   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surg On Vag/Urethral
00944   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Vaginal Hysterectomy
00948   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Repair Of Cervix
00950   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Vaginal Endoscopy
00952   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hysteroscope/Graph
01112   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Bone Aspirate/Bx
01120   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Pelvis Surgery
01130   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Body Cast Procedure
01140   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Amputation At Pelvis
01150   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Pelvic Tumor Surgery
01160   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Pelvis Procedure
01170   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Pelvis Surgery
01173   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Fx Repair Pelvis
01200   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hip Joint Procedure
01202   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Arthroscopy Of Hip
01210   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hip Joint Surgery
01212   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hip Disarticulation
01214   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Hip Arthroplasty
01215   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Revise Hip Repair
01220   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Procedure On Femur
01230   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surgery Of Femur
01232   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Amputation Of Femur
01234   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Radical Femur Surg
01250   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Upper Leg Surgery
01260   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Upper Leg Veins Surg
01270   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Thigh Arteries Surg
01272   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Femoral Artery Surg
01274   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Femoral Embolectomy
01320   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Area Surgery
01340   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Area Procedure
01360   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Area Surgery
01380   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Joint Procedure
01382   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Dx Knee Arthroscopy
01390   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Area Procedure
01392   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Area Surgery
01400   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Joint Surgery
01402   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Arthroplasty
01404   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Amputation At Knee
01420   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Joint Casting
01430   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Veins Surgery
01432   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Vessel Surg
01440   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Arteries Surg
01442   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Artery Surg
01444   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Knee Artery Repair
01462   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Procedure
01464   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Ankle/Ft Arthroscopy
01470   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Surgery
01472   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Achilles Tendon Surg
01474   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Surgery
01480   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Bone Surg
01482   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Radical Leg Surgery
01484   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Revision
01486   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Ankle Replacement
01490   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Casting
01500   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Leg Arteries Surg
01502   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lwr Leg Embolectomy
01520   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Vein Surg
01522   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Leg Vein Surg
01610   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surgery Of Shoulder
01620   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Procedure
01622   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Dx Shoulder Arthroscopy
01630   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Surgery Of Shoulder
01634   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Joint Amput
01636   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Forequarter Amput
01638   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Replacement
01650   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Artery Surg
01652   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Vessel Surg
01654   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Vessel Surg
01656   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Arm-Leg Vessel Surg
01670   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Vein Surg
01680   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Shoulder Casting
01710   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Elbow Area Surgery
01712   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Uppr Arm Tendon Surg
01714   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Uppr Arm Tendon Surg
01716   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Biceps Tendon Repair
01730   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Uppr Arm Procedure
01732   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Dx Elbow Arthroscopy
01740   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Upper Arm Surgery
01742   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Humerus Surgery
01744   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Humerus Repair
01756   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Radical Humerus Surg
01758   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Humeral Lesion Surg
01760   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Elbow Replacement
01770   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Uppr Arm Artery Surg
01772   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Uppr Arm Embolectomy
01780   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Upper Arm Vein Surg
01782   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Uppr Arm Vein Repair
01810   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Arm Surgery
01820   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Arm Procedure
01829   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Dx Wrist Arthroscopy
01830   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Arm Surgery
01832   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Wrist Replacement
01840   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lwr Arm Artery Surg
01842   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lwr Arm Embolectomy
01844   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Vascular Shunt Surg
01850   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Arm Vein Surg
01852   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lwr Arm Vein Repair
01860   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Lower Arm Casting
01916   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Dx Arteriography
01920   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Catheterize Heart
01922   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Cat Or MRI Scan
01924   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Ther Interven Rad Artrl
01925   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Ther Interven Rad Card
01926   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Tx Interv Rad Hrt/Cran
01930   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Ther Interven Rad Vein
01931   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Ther Interven Rad Tips
01932   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Tx Interv Rad Th Vein
01933   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes Tx Interv Rad Cran Vein
01935   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Perc Img Dx Sp Proc
01936   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Perc Img Tx Sp Proc
01951   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Burn Less 4 Percent
01952   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Burn 4-9 Percent
01953   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Burn Each 9 Percent
01958   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Antepartum Manipul
01960   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Vaginal Delivery
01961   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Cs Delivery
01962   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Emer Hysterectomy
01963   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Cs Hysterectomy
01965   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Inc/Missed Ab Proc
01966   D   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Induced Ab Procedure
01967   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth/Analg Vag Delivery
01968   C   0.00   0.00   0.00   0.00   XXX   0.00   Anes/Analg Cs Deliver Add-On
01969   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth/Analg Cs Hyst Add-On
01990   C   0.00   0.00   0.00   0.00   XXX   0.00   Support For Organ Donor
01991   C   0.00   0.00   0.00   0.00   XXX   0.00   Anesth Nerve Block/Inj
01992   C    0.00     0.00   0.00   0.00   XXX    0.00   Anesth N Block/Inj Prone
01996   C    0.00     0.00   0.00   0.00   XXX    0.00   Hosp Manage Cont Drug Admin
01999   R    0.00     0.00   0.00   0.00   XXX    0.00   Unlisted Anesth Procedure
10004   C    0.80     0.57   0.34   0.11   ZZZ   55.80   Fna Bx W/O Img Gdn Ea Addl
10005   C    1.46     2.08   0.48   0.13   XXX   55.80   Fna Bx W/Us Gdn 1St Les
10006   C    1.00     0.61   0.33   0.09   ZZZ   55.80   Fna Bx W/Us Gdn Ea Addl
10007   C    1.81     6.44   0.70   0.18   XXX   55.80   Fna Bx W/Fluor Gdn 1St Les
10008   C    1.18     3.49   0.46   0.12   ZZZ   55.80   Fna Bx W/Fluor Gdn Ea Addl
10009   C    2.26    10.84   0.80   0.22   XXX   55.80   Fna Bx W/Ct Gdn 1St Les
10010   C    1.65     6.22   0.58   0.15   ZZZ   55.80   Fna Bx W/Ct Gdn Ea Addl
10011   C   308.23    0.00   0.00   0.00   XXX    1.25   Fna Bx W/Mr Gdn 1St Les
10012   C    0.00     0.00   0.00   0.00   ZZZ    0.00   Fna Bx W/Mr Gdn Ea Addl
10021   C    1.03     1.64   0.44   0.13   XXX   55.80   Fna W/O Image
10030   C    2.75    14.52   0.97   0.26   XXX   55.80   Guide Cathet Fluid Drainage
10035   C    1.70    11.01   0.63   0.13   XXX   55.80   Perq Dev Soft Tiss 1St Imag
10036   C    0.85     9.98   0.31   0.09   XXX   55.80   Perq Dev Soft Tiss Add Imag
10040   C    0.91     2.11   0.53   0.09   010   55.80   Acne Surgery
10060   C    1.22     2.09   1.52   0.13   010   55.80   Drainage Of Skin Abscess
10061   C    2.45     3.20   2.44   0.32   010   55.80   Drainage Of Skin Abscess
10080   C    1.22     4.58   1.54   0.19   010   55.80   Drainage Of Pilonidal Cyst
10081   C    2.50     5.78   2.04   0.39   010   55.80   Drainage Of Pilonidal Cyst
10120   C    1.22     2.96   1.59   0.13   010   55.80   Remove Foreign Body
10121   C    2.74     4.61   2.18   0.41   010   55.80   Remove Foreign Body
10140   C    1.58     3.05   1.61   0.22   010   55.80   Drainage Of Hematoma/Fluid
10160   C    1.25     2.31   1.31   0.15   010   55.80   Puncture Drainage Of Lesion
10180   C    2.30     4.51   2.32   0.49   010   55.80   Complex Drainage Wound
11000   C    0.60     0.95   0.16   0.06   000   55.80   Debride Infected Skin
11001   C    0.30     0.34   0.08   0.03   ZZZ   55.80   Debride Infected Skin Add-On
11004   C    10.80    3.90   3.90   1.98   000   55.80   Debride Genitalia & Perineum
11005   C    14.24    5.24   5.24   3.24   000   55.80   Debride Abdom Wall
